user_id,start_date,age_group,instrument,country,skill_level,churn,day_1_retention,day_7_retention,day_30_retention,premium_conversion,lessons_completed
AUG00046,2024-08-01,18-34,Voice,South Africa,Advanced,0,0,0,0,0,13
AUG00047,2024-08-01,35-54,Piano,United Kingdom,Intermediate,1,0,0,0,0,49
AUG00048,2024-08-01,35-54,Guitar,Germany,Beginner,0,0,0,0,0,6
AUG00049,2024-08-01,35-54,Ukulele,Brazil,Beginner,0,0,0,0,0,6
AUG00050,2024-08-01,35-54,Piano,United Kingdom,Advanced,0,1,1,0,0,3
AUG00051,2024-08-01,18-34,Guitar,Spain,Intermediate,0,1,1,1,0,3
AUG00052,2024-08-01,18-34,Guitar,Sweden,Beginner,0,1,0,0,0,6
AUG00053,2024-08-01,18-34,Guitar,France,Beginner,0,1,0,0,0,2
AUG00054,2024-08-01,35-54,Piano,Australia,Beginner,1,1,0,0,0,6
AUG00055,2024-08-01,55+,Piano,United Kingdom,Beginner,0,0,0,0,0,3
AUG00056,2024-08-01,18-34,Voice,United Kingdom,Advanced,0,0,0,0,0,10
AUG00057,2024-08-01,18-34,Guitar,United States,Beginner,0,0,0,0,0,1
AUG00058,2024-08-01,35-54,Guitar,Australia,Beginner,0,0,0,0,0,5
AUG00059,2024-08-01,18-34,Ukulele,Australia,Beginner,0,0,0,0,0,6
AUG00060,2024-08-01,35-54,Ukulele,Mexico,Beginner,0,0,0,0,0,5
AUG00061,2024-08-01,35-54,Guitar,Canada,Intermediate,0,0,0,0,0,10
AUG00062,2024-08-01,18-34,Voice,Australia,Beginner,0,0,0,0,0,2
AUG00063,2024-08-01,35-54,Piano,Sweden,Intermediate,0,1,0,0,0,1
AUG00064,2024-08-01,18-34,Guitar,Italy,Beginner,0,0,0,0,0,4
AUG00065,2024-08-01,35-54,Guitar,Norway,Beginner,0,0,0,0,0,6
AUG00066,2024-08-01,35-54,Piano,Finland,Beginner,0,1,1,0,0,6
AUG00067,2024-08-01,18-34,Guitar,Finland,Beginner,0,1,1,0,0,7
AUG00068,2024-08-01,18-34,Piano,Sweden,Beginner,1,0,0,0,0,6
AUG00069,2024-08-01,35-54,Voice,United States,Beginner,0,1,0,0,0,2
AUG00070,2024-08-01,55+,Piano,Germany,Beginner,0,0,0,0,0,6
AUG00071,2024-08-01,18-34,Ukulele,Netherlands,Beginner,0,1,1,0,0,5
AUG00072,2024-08-01,18-34,Piano,United Kingdom,Beginner,0,0,0,0,0,2
AUG00073,2024-08-01,18-34,Guitar,United Kingdom,Beginner,0,1,0,0,0,3
AUG00074,2024-08-01,35-54,Guitar,Australia,Beginner,0,1,0,0,0,3
AUG00075,2024-08-01,35-54,Piano,Norway,Intermediate,1,0,0,0,0,9
AUG00076,2024-08-01,35-54,Guitar,Norway,Beginner,0,0,0,0,0,2
AUG00077,2024-08-01,18-34,Piano,France,Beginner,0,0,0,0,0,5
AUG00078,2024-08-01,18-34,Voice,New Zealand,Advanced,0,0,0,0,0,12
AUG00079,2024-08-01,35-54,Guitar,Italy,Advanced,0,0,0,0,0,3
AUG00080,2024-08-01,35-54,Piano,Spain,Beginner,0,0,0,0,0,3
AUG00081,2024-08-01,35-54,Guitar,Germany,Beginner,0,1,0,0,0,7
AUG00082,2024-08-01,35-54,Piano,Sweden,Intermediate,0,1,0,0,0,7
AUG00083,2024-08-01,18-34,Voice,Spain,Intermediate,0,0,0,0,0,2
AUG00084,2024-08-01,35-54,Piano,Ireland,Beginner,0,0,0,0,0,1
AUG00085,2024-08-01,35-54,Guitar,Suriname,Beginner,0,1,1,0,0,1
AUG00086,2024-08-01,18-34,Guitar,Finland,Beginner,0,0,0,0,0,3
AUG00087,2024-08-01,18-34,Guitar,United Kingdom,Beginner,1,1,0,0,0,4
AUG00088,2024-08-01,18-34,Guitar,Spain,Advanced,0,0,0,0,0,6
AUG00089,2024-08-01,18-34,Voice,France,Beginner,0,0,0,0,0,7
AUG00090,2024-08-01,18-34,Guitar,United States,Beginner,0,1,1,1,0,0
AUG00091,2024-08-01,35-54,Guitar,Sweden,Beginner,0,1,0,0,0,3
AUG00092,2024-08-01,18-34,Piano,Australia,Beginner,0,0,0,0,0,5
AUG00093,2024-08-01,18-34,Piano,United States,Beginner,1,0,0,0,0,6
AUG00094,2024-08-01,18-34,Piano,France,Intermediate,0,0,0,0,0,0
AUG00095,2024-08-01,35-54,Piano,Argentina,Beginner,0,0,0,0,0,6
AUG00096,2024-08-01,18-34,Ukulele,Netherlands,Beginner,0,0,0,0,0,3
AUG00097,2024-08-01,18-34,Piano,Germany,Beginner,0,0,0,0,0,6
AUG00098,2024-08-01,18-34,Voice,Germany,Beginner,0,0,0,0,0,2
AUG00099,2024-08-01,18-34,Voice,Australia,Advanced,0,0,0,0,0,0
AUG00100,2024-08-01,35-54,Piano,Brazil,Advanced,0,0,0,0,0,11
AUG00101,2024-08-01,35-54,Ukulele,United Kingdom,Beginner,1,1,0,0,1,1
AUG00102,2024-08-01,35-54,Guitar,Spain,Beginner,0,0,0,0,0,0
AUG00103,2024-08-01,18-34,Guitar,Canada,Advanced,0,1,0,0,0,8
AUG00104,2024-08-01,18-34,Piano,United Kingdom,Beginner,0,0,0,0,0,7
AUG00105,2024-08-01,35-54,Guitar,New Zealand,Beginner,0,0,0,0,0,8
AUG00106,2024-08-01,18-34,Piano,Norway,Beginner,0,0,0,0,0,6
AUG00107,2024-08-01,18-34,Guitar,Netherlands,Beginner,0,1,0,0,0,5
AUG00108,2024-08-01,18-34,Guitar,Canada,Beginner,0,0,0,0,0,5
AUG00109,2024-08-01,18-34,Voice,Canada,Intermediate,0,1,1,0,0,7
AUG00110,2024-08-01,55+,Guitar,United States,Beginner,0,0,0,0,0,3
AUG00111,2024-08-01,18-34,Voice,Ireland,Beginner,0,0,0,0,0,5
AUG00112,2024-08-01,35-54,Guitar,United States,Beginner,0,1,1,0,0,7
AUG00113,2024-08-01,35-54,Guitar,United Kingdom,Beginner,1,1,1,0,0,7
AUG00114,2024-08-01,35-54,Voice,Finland,Beginner,0,0,0,0,0,4
AUG00115,2024-08-01,18-34,Ukulele,United States,Intermediate,0,0,0,0,0,8
AUG00116,2024-08-01,55+,Guitar,New Zealand,Advanced,0,0,0,0,0,2
AUG00117,2024-08-01,18-34,Guitar,Spain,Beginner,0,0,0,0,0,3
AUG00118,2024-08-01,35-54,Guitar,Canada,Beginner,0,0,0,0,0,6
AUG00119,2024-08-01,55+,Bass,France,Beginner,0,0,0,0,0,7
AUG00120,2024-08-01,35-54,Piano,France,Beginner,0,0,0,0,0,3
AUG00121,2024-08-01,18-34,Guitar,Italy,Beginner,0,0,0,0,0,5
AUG00122,2024-08-01,35-54,Guitar,Norway,Beginner,0,0,0,0,0,6
AUG00123,2024-08-01,35-54,Ukulele,Australia,Beginner,0,1,0,0,0,8
AUG00124,2024-08-01,18-34,Guitar,Brazil,Intermediate,0,0,0,0,0,7
AUG00125,2024-08-01,18-34,Guitar,United Kingdom,Beginner,0,0,0,0,0,6
AUG00126,2024-08-01,18-34,Voice,United States,Beginner,0,1,0,0,0,5
AUG00127,2024-08-01,35-54,Piano,Canada,Beginner,0,1,1,0,0,1
AUG00128,2024-08-01,18-34,Ukulele,South Africa,Beginner,0,0,0,0,0,5
AUG00129,2024-08-01,35-54,Ukulele,Norway,Beginner,0,0,0,0,0,6
AUG00130,2024-08-01,35-54,Guitar,Sweden,Beginner,0,0,0,0,0,2
AUG00131,2024-08-01,35-54,Ukulele,Netherlands,Beginner,0,0,0,0,0,4
AUG00132,2024-08-01,35-54,Guitar,Netherlands,Advanced,0,0,0,0,0,9
AUG00133,2024-08-01,18-34,Ukulele,New Zealand,Beginner,1,0,0,0,0,6
AUG00134,2024-08-01,18-34,Bass,Brazil,Beginner,0,0,0,0,0,3
AUG00135,2024-08-01,18-34,Piano,Sweden,Beginner,1,0,0,0,0,7
AUG00136,2024-08-01,18-34,Ukulele,Netherlands,Intermediate,0,0,0,0,0,6
AUG00137,2024-08-01,35-54,Guitar,Germany,Intermediate,1,0,0,0,0,12
AUG00138,2024-08-01,35-54,Guitar,United States,Beginner,0,1,1,0,0,2
AUG00139,2024-08-01,18-34,Ukulele,South Africa,Beginner,1,0,0,0,0,4
AUG00140,2024-08-01,35-54,Piano,United States,Advanced,0,0,0,0,0,14
AUG00141,2024-08-01,35-54,Guitar,Ireland,Beginner,0,0,0,0,0,5
AUG00142,2024-08-01,35-54,Ukulele,France,Advanced,0,1,0,0,0,12
AUG00143,2024-08-01,35-54,Piano,United States,Beginner,0,0,0,0,0,5
AUG00144,2024-08-01,18-34,Guitar,Finland,Intermediate,0,0,0,0,0,2
AUG00145,2024-08-01,18-34,Guitar,Germany,Advanced,0,0,0,0,0,0
AUG00146,2024-08-01,18-34,Guitar,United States,Advanced,0,1,1,0,0,12
AUG00147,2024-08-01,18-34,Guitar,United Kingdom,Beginner,0,0,0,0,0,5
AUG00148,2024-08-01,35-54,Guitar,Norway,Advanced,0,1,1,1,0,11
AUG00149,2024-08-01,18-34,Guitar,South Africa,Intermediate,1,0,0,0,0,5
AUG00150,2024-08-01,55+,Piano,Argentina,Beginner,0,0,0,0,0,3
AUG00151,2024-08-01,18-34,Ukulele,Australia,Advanced,0,0,0,0,0,18
AUG00152,2024-08-01,55+,Guitar,Canada,Intermediate,0,1,0,0,0,4
AUG00153,2024-08-01,35-54,Guitar,Norway,Beginner,0,0,0,0,0,8
AUG00154,2024-08-01,35-54,Guitar,Netherlands,Beginner,0,0,0,0,0,0
AUG00155,2024-08-01,18-34,Ukulele,France,Beginner,0,0,0,0,0,4
AUG00156,2024-08-01,35-54,Ukulele,Brazil,Beginner,0,0,0,0,0,4
AUG00157,2024-08-01,18-34,Guitar,France,Beginner,0,0,0,0,0,2
AUG00158,2024-08-01,35-54,Guitar,United Kingdom,Beginner,0,0,0,0,0,2
AUG00159,2024-08-01,55+,Guitar,Germany,Intermediate,0,0,0,0,0,2
AUG00160,2024-08-01,18-34,Piano,Australia,Advanced,0,0,0,0,0,14
AUG00161,2024-08-01,35-54,Guitar,New Zealand,Beginner,0,0,0,0,0,5
AUG00162,2024-08-01,55+,Guitar,Netherlands,Intermediate,0,0,0,0,0,3
AUG00163,2024-08-01,18-34,Voice,Sweden,Beginner,0,0,0,0,0,4
AUG00164,2024-08-01,55+,Bass,United Kingdom,Beginner,0,0,0,0,0,2
AUG00165,2024-08-01,18-34,Guitar,Sweden,Intermediate,0,0,0,0,0,3
AUG00166,2024-08-01,35-54,Guitar,United Kingdom,Beginner,1,0,0,0,0,1
AUG00167,2024-08-01,18-34,Piano,New Zealand,Beginner,0,0,0,0,0,1
AUG00168,2024-08-01,18-34,Guitar,United States,Beginner,1,0,0,0,0,8
AUG00169,2024-08-01,18-34,Piano,Finland,Advanced,0,1,0,0,0,11
AUG00170,2024-08-01,35-54,Guitar,Germany,Beginner,0,0,0,0,0,0
AUG00171,2024-08-01,18-34,Piano,Canada,Beginner,0,0,0,0,0,6
AUG00172,2024-08-01,35-54,Guitar,Ireland,Beginner,0,0,0,0,0,6
AUG00173,2024-08-01,18-34,Guitar,Finland,Advanced,0,0,0,0,0,8
AUG00174,2024-08-01,18-34,Guitar,Timor-Leste,Advanced,0,0,0,0,0,13
AUG00175,2024-08-01,18-34,Guitar,United States,Beginner,1,0,0,0,0,7
AUG00176,2024-08-01,35-54,Guitar,Spain,Beginner,1,0,0,0,0,1
AUG00177,2024-08-01,35-54,Piano,Netherlands,Beginner,0,0,0,0,0,0
AUG00178,2024-08-01,18-34,Guitar,Finland,Beginner,0,1,0,0,0,3
AUG00179,2024-08-01,55+,Guitar,United Kingdom,Advanced,0,0,0,0,0,10
AUG00180,2024-08-01,35-54,Guitar,Germany,Advanced,0,0,0,0,0,9
AUG00181,2024-08-01,35-54,Piano,France,Advanced,0,0,0,0,0,9
AUG00182,2024-08-01,35-54,Guitar,Canada,Beginner,0,1,0,0,0,7
AUG00183,2024-08-01,35-54,Ukulele,Germany,Intermediate,0,0,0,0,0,4
AUG00184,2024-08-01,18-34,Guitar,Ireland,Beginner,0,0,0,0,0,5
AUG00185,2024-08-01,55+,Ukulele,United Kingdom,Beginner,0,0,0,0,0,4
AUG00186,2024-08-01,35-54,Guitar,Brazil,Advanced,0,0,0,0,0,5
AUG00187,2024-08-01,18-34,Piano,United States,Beginner,0,0,0,0,0,3
AUG00188,2024-08-01,35-54,Ukulele,Finland,Beginner,0,1,0,0,0,7
AUG00189,2024-08-01,18-34,Bass,Australia,Intermediate,0,0,0,0,0,3
AUG00190,2024-08-01,18-34,Voice,France,Beginner,0,1,0,0,0,3
AUG00191,2024-08-01,18-34,Piano,Germany,Beginner,0,0,0,0,0,44
AUG00192,2024-08-01,35-54,Guitar,United Kingdom,Beginner,0,0,0,0,0,4
AUG00193,2024-08-01,18-34,Piano,United Kingdom,Beginner,0,0,0,0,0,4
AUG00194,2024-08-01,35-54,Guitar,United States,Beginner,0,1,1,1,0,2
AUG00195,2024-08-01,18-34,Voice,Finland,Beginner,0,0,0,0,0,3
AUG00196,2024-08-01,18-34,Guitar,New Zealand,Beginner,0,0,0,0,0,6
AUG00197,2024-08-01,18-34,Voice,United States,Intermediate,0,0,0,0,0,8
AUG00198,2024-08-01,18-34,Voice,Guyana,Advanced,0,0,0,0,0,0
AUG00199,2024-08-01,18-34,Guitar,Norway,Advanced,0,0,0,0,0,0
AUG00200,2024-08-01,35-54,Piano,New Zealand,Beginner,1,0,0,0,0,2
AUG00201,2024-08-01,35-54,Piano,United States,Beginner,0,0,0,0,1,2
AUG00202,2024-08-01,18-34,Guitar,Canada,Advanced,0,0,0,0,0,3
AUG00203,2024-08-01,18-34,Voice,Germany,Advanced,0,0,0,0,0,9
AUG00204,2024-08-01,35-54,Piano,United Kingdom,Beginner,0,0,0,0,0,19
AUG00205,2024-08-01,35-54,Guitar,Mexico,Beginner,0,1,0,0,0,5
AUG00206,2024-08-01,35-54,Guitar,United Kingdom,Beginner,0,0,0,0,0,2
AUG00207,2024-08-01,18-34,Guitar,United States,Beginner,0,1,1,0,0,3
AUG00208,2024-08-01,18-34,Guitar,United States,Beginner,0,1,1,0,0,0
AUG00209,2024-08-01,35-54,Ukulele,Norway,Beginner,0,0,0,0,0,2
AUG00210,2024-08-01,18-34,Bass,United States,Intermediate,0,0,0,0,0,3
AUG00211,2024-08-01,35-54,Guitar,Sweden,Intermediate,0,0,0,0,0,13
AUG00212,2024-08-01,18-34,Voice,Netherlands,Beginner,1,0,0,0,0,5
AUG00213,2024-08-01,55+,Guitar,United States,Intermediate,0,0,0,0,0,10
AUG00214,2024-08-01,35-54,Guitar,United Kingdom,Beginner,0,1,1,0,0,5
AUG00215,2024-08-01,35-54,Piano,United Kingdom,Intermediate,0,0,0,0,0,10
AUG00216,2024-08-01,18-34,Guitar,United Kingdom,Beginner,0,0,0,0,0,7
AUG00217,2024-08-01,18-34,Guitar,Norway,Beginner,0,0,0,0,0,3
AUG00218,2024-08-01,35-54,Voice,Germany,Beginner,0,0,0,0,0,5
AUG00219,2024-08-01,55+,Guitar,Australia,Intermediate,0,0,0,0,0,8
AUG00220,2024-08-01,35-54,Piano,Canada,Beginner,0,0,0,0,0,3
AUG00221,2024-08-01,35-54,Guitar,Argentina,Intermediate,0,0,0,0,0,6
AUG00222,2024-08-01,35-54,Piano,Netherlands,Beginner,0,0,0,0,0,4
AUG00223,2024-08-01,35-54,Ukulele,France,Beginner,0,1,0,0,0,3
AUG00224,2024-08-01,18-34,Guitar,United Kingdom,Beginner,0,1,1,0,0,6
AUG00225,2024-08-01,35-54,Piano,France,Beginner,1,0,0,0,0,1
AUG00226,2024-08-01,35-54,Bass,Australia,Beginner,1,1,1,0,0,2
AUG00227,2024-08-01,18-34,Voice,Finland,Beginner,0,0,0,0,0,4
AUG00228,2024-08-01,35-54,Guitar,Netherlands,Beginner,0,0,0,0,0,6
AUG00229,2024-08-01,18-34,Ukulele,United States,Beginner,0,0,0,0,0,5
AUG00230,2024-08-01,35-54,Ukulele,Spain,Beginner,0,0,0,0,0,5
AUG00231,2024-08-01,35-54,Voice,Spain,Advanced,0,0,0,0,0,7
AUG00232,2024-08-01,18-34,Bass,Mexico,Intermediate,0,0,0,0,0,1
AUG00233,2024-08-01,18-34,Ukulele,Finland,Beginner,0,0,0,0,0,3
AUG00234,2024-08-01,18-34,Piano,Germany,Beginner,0,1,1,1,0,5
AUG00235,2024-08-01,18-34,Piano,Spain,Beginner,0,0,0,0,0,5
AUG00236,2024-08-01,18-34,Piano,United Kingdom,Advanced,1,0,0,0,0,7
AUG00237,2024-08-01,35-54,Ukulele,Sweden,Beginner,0,1,1,1,0,4
AUG00238,2024-08-01,18-34,Bass,Australia,Beginner,0,1,0,0,0,0
AUG00239,2024-08-01,18-34,Voice,United States,Intermediate,0,0,0,0,0,6
AUG00240,2024-08-01,18-34,Guitar,United Kingdom,Beginner,0,0,0,0,0,3
AUG00241,2024-08-01,18-34,Piano,Italy,Beginner,0,0,0,0,0,2
AUG00242,2024-08-01,35-54,Piano,United Kingdom,Advanced,0,0,0,0,0,6
AUG00243,2024-08-01,35-54,Bass,United Kingdom,Advanced,1,0,0,0,0,9
AUG00244,2024-08-01,18-34,Guitar,Germany,Intermediate,0,0,0,0,0,10
AUG00245,2024-08-01,35-54,Piano,Sweden,Beginner,0,0,0,0,0,5
AUG00246,2024-08-01,18-34,Ukulele,New Zealand,Beginner,0,1,0,0,0,5
AUG00247,2024-08-01,18-34,Voice,United Kingdom,Intermediate,0,0,0,0,0,6
AUG00248,2024-08-01,35-54,Guitar,Netherlands,Beginner,0,1,1,0,0,6
AUG00249,2024-08-01,Under 18,Bass,Norway,Beginner,1,0,0,0,0,5
AUG00250,2024-08-01,18-34,Guitar,Netherlands,Advanced,0,0,0,0,0,4
AUG00251,2024-08-01,18-34,Guitar,Norway,Beginner,0,0,0,0,0,3
AUG00252,2024-08-01,18-34,Voice,France,Beginner,0,0,0,0,0,0
AUG00253,2024-08-01,18-34,Voice,Finland,Beginner,1,0,0,0,0,7
AUG00254,2024-08-01,18-34,Piano,Sweden,Beginner,0,1,1,0,0,4
AUG00255,2024-08-01,18-34,Piano,Argentina,Beginner,1,0,0,0,0,5
AUG00256,2024-08-01,18-34,Ukulele,United States,Beginner,0,0,0,0,0,1
AUG00257,2024-08-01,18-34,Guitar,Brazil,Beginner,0,0,0,0,0,0
AUG00258,2024-08-01,18-34,Voice,Australia,Intermediate,0,0,0,0,0,3
AUG00259,2024-08-01,55+,Guitar,France,Beginner,0,0,0,0,0,6
AUG00260,2024-08-01,35-54,Voice,Australia,Beginner,0,0,0,0,0,6
AUG00261,2024-08-01,18-34,Ukulele,Argentina,Beginner,1,0,0,0,0,3
AUG00262,2024-08-01,18-34,Piano,Mexico,Beginner,0,0,0,0,0,4
AUG00263,2024-08-01,18-34,Guitar,Mexico,Advanced,0,0,0,0,0,8
AUG00264,2024-08-01,35-54,Ukulele,Sweden,Beginner,0,1,0,0,0,5
AUG00265,2024-08-01,18-34,Guitar,Finland,Beginner,0,0,0,0,0,5
AUG00266,2024-08-01,35-54,Ukulele,Brazil,Beginner,0,0,0,0,0,3
AUG00267,2024-08-01,18-34,Piano,Finland,Advanced,1,0,0,0,0,2
AUG00268,2024-08-01,35-54,Voice,United States,Beginner,1,1,0,0,0,3
AUG00269,2024-08-01,18-34,Piano,United Kingdom,Intermediate,0,1,0,0,0,1
AUG00270,2024-08-01,35-54,Ukulele,United Kingdom,Beginner,0,0,0,0,0,3
AUG00271,2024-08-01,35-54,Guitar,Bhutan,Beginner,0,0,0,1,0,43
AUG00272,2024-08-01,35-54,Guitar,United States,Beginner,0,0,0,0,0,3
AUG00273,2024-08-01,18-34,Piano,Mexico,Beginner,0,0,0,0,0,8
AUG00274,2024-08-01,18-34,Piano,Australia,Beginner,0,0,0,0,0,6
AUG00275,2024-08-01,18-34,Guitar,Netherlands,Beginner,0,0,0,0,0,7
AUG00276,2024-08-01,35-54,Guitar,Sweden,Beginner,0,0,0,0,0,4
AUG00277,2024-08-01,18-34,Piano,Monaco,Beginner,0,0,0,0,1,21
AUG00278,2024-08-01,18-34,Guitar,United States,Advanced,0,1,0,0,0,16
AUG00279,2024-08-01,35-54,Guitar,Australia,Beginner,0,1,0,0,0,6
AUG00280,2024-08-01,18-34,Guitar,Norway,Beginner,0,0,0,0,0,5
AUG00281,2024-08-01,18-34,Guitar,New Zealand,Beginner,0,0,0,0,0,1
AUG00282,2024-08-01,18-34,Guitar,Italy,Intermediate,0,0,0,0,0,10
AUG00283,2024-08-01,35-54,Guitar,Netherlands,Beginner,0,1,0,0,0,4
AUG00284,2024-08-01,18-34,Piano,Sweden,Beginner,0,0,0,0,0,9
AUG00285,2024-08-01,35-54,Ukulele,Canada,Beginner,0,0,0,0,0,4
AUG00286,2024-08-01,18-34,Guitar,Italy,Beginner,0,1,0,0,0,6
AUG00287,2024-08-01,18-34,Guitar,United States,Beginner,0,0,0,0,0,4
AUG00288,2024-08-01,18-34,Guitar,Australia,Beginner,0,0,0,0,0,6
AUG00289,2024-08-01,35-54,Bass,Germany,Advanced,0,0,0,0,0,11
AUG00290,2024-08-01,18-34,Guitar,South Africa,Beginner,0,0,0,0,0,3
AUG00291,2024-08-01,35-54,Guitar,United States,Beginner,0,0,0,0,1,5
AUG00292,2024-08-01,18-34,Bass,United Kingdom,Intermediate,0,0,0,0,0,11
AUG00293,2024-08-01,18-34,Ukulele,France,Beginner,0,0,0,0,0,1
AUG00294,2024-08-01,55+,Guitar,Spain,Advanced,0,0,0,0,0,1
AUG00295,2024-08-01,18-34,Guitar,Timor-Leste,Advanced,0,1,0,0,0,0
AUG00296,2024-08-01,55+,Ukulele,Ireland,Beginner,0,0,0,0,0,5
AUG00297,2024-08-01,18-34,Guitar,Australia,Beginner,0,0,0,0,0,9
AUG00298,2024-08-01,55+,Guitar,United States,Advanced,0,0,0,0,0,11
AUG00299,2024-08-01,18-34,Voice,Norway,Intermediate,0,0,0,0,0,7
AUG00300,2024-08-01,35-54,Bass,Germany,Advanced,0,0,0,0,0,5
AUG00301,2024-08-01,18-34,Guitar,Spain,Beginner,0,0,0,0,0,3
AUG00302,2024-08-01,18-34,Guitar,France,Advanced,0,0,0,0,0,11
AUG00303,2024-08-01,18-34,Guitar,Italy,Intermediate,0,0,0,0,0,9
AUG00304,2024-08-01,18-34,Piano,Sweden,Advanced,0,0,0,0,0,17
AUG00305,2024-08-01,18-34,Ukulele,United Kingdom,Beginner,0,0,0,0,0,7
AUG00306,2024-08-01,18-34,Guitar,Finland,Intermediate,1,0,0,0,0,10
AUG00307,2024-08-01,35-54,Guitar,Argentina,Beginner,0,0,0,0,0,7
AUG00308,2024-08-01,18-34,Guitar,Canada,Beginner,0,0,0,0,0,1
AUG00309,2024-08-01,55+,Guitar,Australia,Beginner,0,0,0,0,0,3
AUG00310,2024-08-01,18-34,Guitar,Netherlands,Advanced,0,0,0,0,0,4
AUG00311,2024-08-01,35-54,Voice,Germany,Beginner,1,0,0,0,0,6
AUG00312,2024-08-01,18-34,Guitar,Germany,Beginner,0,0,0,0,0,36
AUG00313,2024-08-01,35-54,Ukulele,Netherlands,Beginner,0,0,0,0,0,5
AUG00314,2024-08-01,18-34,Guitar,Netherlands,Beginner,1,0,0,0,0,9
AUG00315,2024-08-01,18-34,Ukulele,United Kingdom,Beginner,1,0,0,0,0,7
AUG00316,2024-08-01,18-34,Guitar,Canada,Beginner,0,0,0,0,0,4
AUG00317,2024-08-01,18-34,Guitar,Mexico,Beginner,0,0,0,0,0,4
AUG00318,2024-08-01,35-54,Ukulele,Italy,Beginner,1,0,0,0,0,5
AUG00319,2024-08-01,18-34,Guitar,United Kingdom,Beginner,0,0,0,0,0,2
